coordinate,energy
1,0.000000
2,0.641970
3,2.248935
4,4.433156
5,6.700778
6,8.823503
7,10.533121
8,11.502508
9,11.553154
10,10.754974
11,9.532277
12,8.038444
13,6.727264
14,5.823351
15,5.385782
